"In_your_own_words,_what_would_you_call_the_part_of_?",Personally_identification_as_a_Midwesterner?,Illinois_in_MW?,Indiana_in_MW?,Iowa_in_MW?,Kansas_in_MW?,Michigan_in_MW?,Minnesota_in_MW?,Missouri_in_MW?,Nebraska_in_MW?,North_Dakota_in_MW?,Ohio_in_MW?,South_Dakota_in_MW?,Wisconsin_in_MW?,Arkansas_in_MW?,Colorado_in_MW?,Kentucky_in_MW?,Oklahoma_in_MW?,Pennsylvania_in_MW?,West_Virginia_in_MW?,Montana_in_MW?,Wyoming_in_MW?,ZIP_Code,Gender,Age,Household_Income,Education,Location_(Census_Region)
mid atlantic,Not much,Yes,No,Yes,Yes,No,No,Yes,No,Yes,No,Yes,No,No,Yes,No,Yes,No,No,No,No,17747,Male,45-60,"$50,000 - $99,999",Associate or bachelor degree,Middle Atlantic
Northeast Region,Not much,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,18505,Male,45-60,"$50,000 - $99,999",Associate or bachelor degree,Middle Atlantic
Northeast,Some,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,15074,Male,45-60,"$50,000 - $99,999",Associate or bachelor degree,Middle Atlantic
North eastern US,Not at all,No,No,Yes,Yes,No,No,Yes,Yes,No,No,No,No,Yes,No,No,Yes,No,No,No,Yes,16749,Female,30-44,"$50,000 - $99,999",Associate or bachelor degree,Middle Atlantic
Northeast,Not at all,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,15665,Female,30-44,"$50,000 - $99,999",Associate or bachelor degree,Middle Atlantic
midatlantic,A lot,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,19403,Female,30-44,"$50,000 - $99,999",Associate or bachelor degree,Middle Atlantic
Eastern with lake effect weather.,Not at all,No,Yes,No,Yes,No,No,No,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,No,Yes,Yes,14214,Male,30-44,"$50,000 - $99,999",Associate or bachelor degree,Middle Atlantic
Northeast,Not at all,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,17602,Female,30-44,"$50,000 - $99,999",Associate or bachelor degree,Middle Atlantic
northeast,Not at all,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,15236,Male,30-44,"$50,000 - $99,999",Associate or bachelor degree,Middle Atlantic
Northeast,Not at all,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,16365,Male,30-44,"$50,000 - $99,999",Associate or bachelor degree,Middle Atlantic
Mid-Atlantic,Not at all,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,17601,Male,30-44,"$50,000 - $99,999",Associate or bachelor degree,Middle Atlantic
North East USA,Not much,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,19520,Male,30-44,"$50,000 - $99,999",Associate or bachelor degree,Middle Atlantic
Atlantic region,Not much,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,Yes,16415,Male,30-44,"$50,000 - $99,999",Associate or bachelor degree,Middle Atlantic
Mid Atlantic,Not much,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,Yes,No,No,No,No,No,19403,Male,30-44,"$50,000 - $99,999",Associate or bachelor degree,Middle Atlantic
Northeastern Pennsylvania,Not at all,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Yes,No,Yes,No,No,No,No,No,18661,Male,30-44,"$50,000 - $99,999",Associate or bachelor degree,Middle Atlantic
The Northeast.,Not at all,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,19143,Female,18-29,"$50,000 - $99,999",Associate or bachelor degree,Middle Atlantic
north east,Not at all,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,No,No,Yes,No,No,Yes,No,No,Yes,Yes,14026,Female,18-29,"$50,000 - $99,999",Associate or bachelor degree,Middle Atlantic
Northeast,Not at all,Yes,No,No,Yes,No,No,No,Yes,No,No,No,Yes,No,No,No,Yes,No,No,No,No,19114,Female,18-29,"$50,000 - $99,999",Associate or bachelor degree,Middle Atlantic
East Coast,Not at all,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,No,18109,Female,18-29,"$50,000 - $99,999",Associate or bachelor degree,Middle Atlantic
North East,Not at all,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,17740,Female,18-29,"$50,000 - $99,999",Associate or bachelor degree,Middle Atlantic
Northeast,Not at all,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,10901,Female,18-29,"$50,000 - $99,999",Associate or bachelor degree,Middle Atlantic
Northeast,Not at all,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,Yes,Yes,17745,Female,18-29,"$50,000 - $99,999",Associate or bachelor degree,Middle Atlantic
Northeast,Not at all,No,Yes,No,No,Yes,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,19103,Male,18-29,"$50,000 - $99,999",Associate or bachelor degree,Middle Atlantic
Rural,Not at all,No,No,No,No,No,No,No,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,No,No,Yes,No,12010,Female,18-29,"$50,000 - $99,999",Associate or bachelor degree,Middle Atlantic
Northeast,Not at all,Yes,No,Yes,No,No,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,No,Yes,8550,Male,18-29,"$50,000 - $99,999",Associate or bachelor degree,Middle Atlantic
East,Not at all,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,17110,Male,18-29,"$50,000 - $99,999",Associate or bachelor degree,Middle Atlantic
Northeast,Not at all,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,Yes,No,Yes,No,No,Yes,No,No,No,No,17307,Male,18-29,"$50,000 - $99,999",Associate or bachelor degree,Middle Atlantic
Northeast,Not much,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,19020,Male,18-29,"$50,000 - $99,999",Associate or bachelor degree,Middle Atlantic
Northeast,Not much,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,11040,Male,18-29,"$50,000 - $99,999",Associate or bachelor degree,Middle Atlantic
McCandless Township,Not at all,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,,Female,> 60,"$25,000 - $49,999",Associate or bachelor degree,Middle Atlantic
Northeast,Not at all,Yes,Yes,No,Yes,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,11372,Male,> 60,"$25,000 - $49,999",Associate or bachelor degree,Middle Atlantic
Northeast,Not at all,No,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,No,Yes,No,Yes,No,No,Yes,Yes,18235,Female,45-60,"$25,000 - $49,999",Associate or bachelor degree,Middle Atlantic
NORTHEAST,Not at all,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,10019,Male,45-60,"$25,000 - $49,999",Associate or bachelor degree,Middle Atlantic
The Northeast,Not at all,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,No,13135,Female,30-44,"$25,000 - $49,999",Associate or bachelor degree,Middle Atlantic
Northeast,Not much,Yes,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,16421,Female,30-44,"$25,000 - $49,999",Associate or bachelor degree,Middle Atlantic
open,Some,No,Yes,Yes,No,No,Yes,No,Yes,No,Yes,No,No,No,No,No,Yes,No,No,Yes,No,19116,Female,30-44,"$25,000 - $49,999",Associate or bachelor degree,Middle Atlantic
east coast,Not at all,No,No,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,Yes,Yes,19106,Male,30-44,"$25,000 - $49,999",Associate or bachelor degree,Middle Atlantic
east coast,Not at all,No,No,No,No,No,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,Yes,Yes,19036,Male,30-44,"$25,000 - $49,999",Associate or bachelor degree,Middle Atlantic
Northeast,Not at all,No,Yes,No,Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,18407,Male,30-44,"$25,000 - $49,999",Associate or bachelor degree,Middle Atlantic
USA,Not at all,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,19147,Male,30-44,"$25,000 - $49,999",Associate or bachelor degree,Middle Atlantic
East Coast,Not at all,No,No,Yes,Yes,No,No,Yes,Yes,No,No,No,No,Yes,Yes,No,Yes,No,No,No,No,15924,Female,18-29,"$25,000 - $49,999",Associate or bachelor degree,Middle Atlantic
home,Not at all,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,10467,Male,18-29,"$25,000 - $49,999",Associate or bachelor degree,Middle Atlantic
North East,Not much,No,No,No,Yes,No,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,No,Yes,16001,Female,18-29,"$0 - $24,999",Associate or bachelor degree,Middle Atlantic
Central Pennsylvania,Not at all,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,15905,Female,18-29,"$0 - $24,999",Associate or bachelor degree,Middle Atlantic
Limiting.,Not at all,Yes,Yes,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,16802,Male,18-29,"$0 - $24,999",Associate or bachelor degree,Middle Atlantic
North East,Not at all,No,No,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,No,No,No,Yes,No,No,No,Yes,10010,Male,30-44,,Associate or bachelor degree,Middle Atlantic
suburbia,Not at all,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,11706,Female,> 60,"$150,000+",Some college,Middle Atlantic
northeast,Not at all,Yes,No,Yes,Yes,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,10128,Female,> 60,"$150,000+",Some college,Middle Atlantic
North east,Not at all,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,17045,Male,> 60,"$150,000+",Some college,Middle Atlantic
Northeast,Not at all,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,Yes,No,Yes,No,No,Yes,Yes,17363,Female,> 60,"$150,000+",Some college,Middle Atlantic
Very Country,Not at all,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,17307,Male,> 60,"$150,000+",Some college,Middle Atlantic
Northeast,Not at all,No,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,,Male,> 60,"$150,000+",Some college,Middle Atlantic
Northeast,Not at all,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,Yes,No,No,No,Yes,7731,Female,45-60,"$150,000+",Some college,Middle Atlantic
northern,Not much,No,No,No,No,No,No,No,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,No,No,Yes,Yes,17267,Female,45-60,"$150,000+",Some college,Middle Atlantic
Northeast,Not at all,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,14423,Male,45-60,"$150,000+",Some college,Middle Atlantic
"The Northeast.  More specifically, Upstate New York",Not at all,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,Yes,No,No,No,No,14423,Male,45-60,"$150,000+",Some college,Middle Atlantic
united States,Not at all,No,No,No,Yes,No,No,Yes,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,Yes,17022,Female,45-60,"$150,000+",Some college,Middle Atlantic
Northeast,Not at all,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,12144,Male,45-60,"$150,000+",Some college,Middle Atlantic
east coast,Some,No,Yes,Yes,No,No,No,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,17551,Female,30-44,"$150,000+",Some college,Middle Atlantic
mid atlantic,Not at all,Yes,Yes,No,Yes,Yes,No,No,Yes,No,Yes,No,Yes,No,No,No,Yes,No,No,No,No,17402,Male,30-44,"$150,000+",Some college,Middle Atlantic
North East,Not at all,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,5452,Female,18-29,"$150,000+",Some college,Middle Atlantic
New York City,Not at all,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes,No,Yes,No,No,Yes,No,No,No,No,No,10463,Female,18-29,"$150,000+",Some college,Middle Atlantic
NEW YORK,Not at all,No,Yes,No,Yes,No,No,Yes,No,No,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,No,No,13902,Female,18-29,"$150,000+",Some college,Middle Atlantic
the suburbs of philadelphia,Not much,No,No,No,Yes,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,Yes,Yes,19063,Female,18-29,"$150,000+",Some college,Middle Atlantic
East coast,Some,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,8801,Female,18-29,"$150,000+",Some college,Middle Atlantic
northeast,Not at all,No,No,No,Yes,No,No,No,No,Yes,No,No,Yes,No,No,No,No,Yes,No,No,No,17777,Male,18-29,"$150,000+",Some college,Middle Atlantic
New England,Not at all,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,4011,Male,18-29,"$150,000+",Some college,Middle Atlantic
Mid-Atlantic,Not at all,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,7076,Male,18-29,"$150,000+",Some college,Middle Atlantic
Mid Atlantic/North East,Not at all,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,No,Yes,No,No,Yes,No,No,No,No,18069,Male,18-29,"$150,000+",Some college,Middle Atlantic
southwestern pennsylvania,Not much,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No,Yes,Yes,No,Yes,No,No,15061,Male,18-29,"$150,000+",Some college,Middle Atlantic
Northeast,Not at all,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,No,No,No,No,18901,Male,> 60,"$100,000 - $149,999",Some college,Middle Atlantic
eastern usa,Not at all,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,Yes,No,No,19460,Female,45-60,"$100,000 - $149,999",Some college,Middle Atlantic
East Coast,Not at all,Yes,No,No,Yes,Yes,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,19148,Female,45-60,"$100,000 - $149,999",Some college,Middle Atlantic
The North East,Not at all,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,17701,Male,45-60,"$100,000 - $149,999",Some college,Middle Atlantic
North east,Not at all,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,Yes,No,Yes,No,No,Yes,Yes,17316,Female,45-60,"$100,000 - $149,999",Some college,Middle Atlantic
northeast,Not at all,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,19149,Male,45-60,"$100,000 - $149,999",Some college,Middle Atlantic
Northeast,Not at all,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,Yes,No,No,No,No,Yes,Yes,17078,Female,30-44,"$100,000 - $149,999",Some college,Middle Atlantic
North East,Not at all,No,No,Yes,Yes,No,No,Yes,Yes,No,No,Yes,No,Yes,No,No,Yes,No,No,No,No,19518,Male,30-44,"$100,000 - $149,999",Some college,Middle Atlantic
Upstate NY,Not at all,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,14477,Male,18-29,"$100,000 - $149,999",Some college,Middle Atlantic
Northeast,Not at all,Yes,No,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No,Yes,Yes,18360,Male,18-29,"$100,000 - $149,999",Some college,Middle Atlantic
Northeast,Not at all,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes,19043,Male,18-29,"$100,000 - $149,999",Some college,Middle Atlantic
east coast/ mid atlantic,Not much,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,16803,Male,18-29,"$100,000 - $149,999",Some college,Middle Atlantic
northeast,A lot,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,No,No,No,No,19446,Male,18-29,"$100,000 - $149,999",Some college,Middle Atlantic
East Coast,Not at all,No,No,Yes,Yes,No,Yes,No,No,Yes,No,Yes,Yes,No,No,No,Yes,No,No,Yes,Yes,16841,Male,18-29,"$100,000 - $149,999",Some college,Middle Atlantic
East coast,Not at all,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,Yes,No,No,Yes,No,No,No,No,19135,Female,> 60,"$50,000 - $99,999",Some college,Middle Atlantic
Northeast,Not much,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,18966,Female,> 60,"$50,000 - $99,999",Some college,Middle Atlantic
East coast,Not much,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,7480,Female,> 60,"$50,000 - $99,999",Some college,Middle Atlantic
Northern Mid Atlantic,Some,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,18902,Female,> 60,"$50,000 - $99,999",Some college,Middle Atlantic
The Northeast. Or the mid atlantic states.,Not at all,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,17931,Male,> 60,"$50,000 - $99,999",Some college,Middle Atlantic
Northeast,Not at all,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,No,No,No,No,17402,Male,> 60,"$50,000 - $99,999",Some college,Middle Atlantic
a great place to live in but for the high property taxs,Not at all,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,8053,Male,> 60,"$50,000 - $99,999",Some college,Middle Atlantic
northeast,Some,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,17601,Male,> 60,"$50,000 - $99,999",Some college,Middle Atlantic
The Northeast,Not at all,No,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,No,8340,Female,45-60,"$50,000 - $99,999",Some college,Middle Atlantic
northeast,Not at all,No,No,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,15650,Female,45-60,"$50,000 - $99,999",Some college,Middle Atlantic
"East, great lakes area of the US",Not at all,No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,14094,Female,45-60,"$50,000 - $99,999",Some college,Middle Atlantic
DORMONT,Some,No,No,No,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,No,No,Yes,Yes,15216,Female,45-60,"$50,000 - $99,999",Some college,Middle Atlantic
Northeast,Not at all,No,No,Yes,No,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,Yes,No,19567,Female,45-60,"$50,000 - $99,999",Some college,Middle Atlantic
Mid Atlantic,Not at all,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes,No,No,No,No,19023,Male,45-60,"$50,000 - $99,999",Some college,Middle Atlantic
eastern pennsylvania,Not at all,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,No,No,Yes,18011,Male,45-60,"$50,000 - $99,999",Some college,Middle Atlantic
North east,Not at all,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,17068,Male,45-60,"$50,000 - $99,999",Some college,Middle Atlantic
great country side of white plain eastern usa,Not much,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,10605,Male,45-60,"$50,000 - $99,999",Some college,Middle Atlantic
Northeast,Not much,Yes,Yes,No,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No,Yes,No,No,No,Yes,16341,Male,45-60,"$50,000 - $99,999",Some college,Middle Atlantic
East coast,Not at all,No,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,Yes,Yes,7727,Female,30-44,"$50,000 - $99,999",Some college,Middle Atlantic
North East Pennsylvania,Not much,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,18504,Female,30-44,"$50,000 - $99,999",Some college,Middle Atlantic
Central New York,Not at all,No,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,14882,Female,30-44,"$50,000 - $99,999",Some college,Middle Atlantic
Northeast,Not at all,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,11566,Male,30-44,"$50,000 - $99,999",Some college,Middle Atlantic
"New York City, a city-state a la Athens. For people who don't know what that means, I'd say Mid-Atlantic",Not at all,Yes,Yes,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,11209,Male,30-44,"$50,000 - $99,999",Some college,Middle Atlantic
Northeast,Not at all,Yes,Yes,Yes,No,No,No,Yes,No,No,Yes,No,Yes,No,No,No,No,Yes,No,No,No,11374,Male,30-44,"$50,000 - $99,999",Some college,Middle Atlantic
northeast,Not at all,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,Yes,No,No,No,No,Yes,No,No,Yes,No,17551,Male,30-44,"$50,000 - $99,999",Some college,Middle Atlantic
Northeast,Not at all,No,No,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,19422,Female,18-29,"$50,000 - $99,999",Some college,Middle Atlantic
New York,Not at all,No,No,No,Yes,No,Yes,Yes,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,11228,Female,18-29,"$50,000 - $99,999",Some college,Middle Atlantic
North East,Some,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,No,No,Yes,No,No,No,Yes,No,No,No,No,19133,Female,18-29,"$50,000 - $99,999",Some college,Middle Atlantic
The East Coast,Not at all,No,Yes,No,No,No,No,Yes,Yes,Yes,No,Yes,No,No,Yes,No,Yes,No,Yes,Yes,Yes,14513,Male,18-29,"$50,000 - $99,999",Some college,Middle Atlantic
Great Lakes,Not much,Yes,Yes,Yes,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,16412,Male,18-29,"$50,000 - $99,999",Some college,Middle Atlantic
east coast,Not at all,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,Yes,No,18964,Female,> 60,"$25,000 - $49,999",Some college,Middle Atlantic
The sunniest state in America,Some,No,Yes,No,Yes,No,No,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,85365,Female,> 60,"$25,000 - $49,999",Some college,Middle Atlantic
NorthEast,Not at all,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,No,No,No,No,Yes,Yes,No,No,No,Yes,19124,Female,> 60,"$25,000 - $49,999",Some college,Middle Atlantic
Northeast,Not at all,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,16510,Female,> 60,"$25,000 - $49,999",Some college,Middle Atlantic
Mid Atlantic,Not at all,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,No,Yes,No,No,Yes,No,No,No,No,17566,Female,45-60,"$25,000 - $49,999",Some college,Middle Atlantic
trashy and racist,Not at all,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,14616,Female,45-60,"$25,000 - $49,999",Some college,Middle Atlantic
northeastern,Some,No,No,Yes,No,No,No,No,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,19020,Female,45-60,"$25,000 - $49,999",Some college,Middle Atlantic
northeast Pa,Not at all,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,No,No,Yes,Yes,18651,Male,45-60,"$25,000 - $49,999",Some college,Middle Atlantic
east,Not at all,No,No,No,Yes,No,No,No,No,Yes,No,Yes,No,No,No,No,Yes,No,No,Yes,Yes,18902,Female,45-60,"$25,000 - $49,999",Some college,Middle Atlantic
Northeast,Not at all,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,16686,Male,45-60,"$25,000 - $49,999",Some college,Middle Atlantic
Northeast,Not at all,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,No,Yes,No,19116,Female,30-44,"$25,000 - $49,999",Some college,Middle Atlantic
North East,Not at all,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,No,15228,Female,30-44,"$25,000 - $49,999",Some college,Middle Atlantic
Northeast,Not at all,No,Yes,No,No,Yes,No,No,No,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,19083,Male,30-44,"$25,000 - $49,999",Some college,Middle Atlantic
Northeastern United States (New Jersey),Not at all,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,8802,Female,18-29,"$25,000 - $49,999",Some college,Middle Atlantic
East Coast,Not at all,No,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,Yes,10033,Female,18-29,"$25,000 - $49,999",Some college,Middle Atlantic
North East,Some,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,19010,Female,18-29,"$25,000 - $49,999",Some college,Middle Atlantic
Lancaster,Not at all,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,19540,Male,18-29,"$25,000 - $49,999",Some college,Middle Atlantic
North East,Not at all,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,19464,Female,> 60,"$0 - $24,999",Some college,Middle Atlantic
